dataset,eval_model,model,score,attack,adv_a_position,removal,no_questions,defense,adv_per_query,M,repeat,total_topk_num,total_adv_num,success_injection_rate,inference_time,correct_answer_pct,incorrect_answer_pct,false_removal_rate,success_removal_rate
,,,,,,,0,,,,,50,30,0.00%,7.22,40.00%,0.00%,0.20%,1.00%
nq,contriever,mistralai/Mistral,dot,LM_targeted,start,none,1,none,3,10,10,500,300,0.59%,,,,,
nq,contriever,mistralai/Mistral,dot,LM_targeted,end,none,1,none,3,10,10,500,300,0.58%,,,,,
nq,contriever,mistralai/Mistral,dot,LM_targeted,start,none,1,conflict,3,10,10,500,300,0.59%,,,,,
nq,contriever,mistralai/Mistral,dot,LM_targeted,start,drift,1,none,3,10,10,500,300,0.57%,,,,0.04%,0.03%
nq,contriever,mistralai/Mistral,dot,LM_targeted,end,none,1,conflict,3,10,10,500,300,0.58%,,,,,
nq,contriever,mistralai/Mistral,dot,LM_targeted,end,drift,1,none,3,10,10,500,300,0.58%,,,,0.04%,0.00%
nq,contriever,mistralai/Mistral,dot,LM_targeted,end,drift,1,conflict,3,10,10,500,300,0.58%,,,,0.04%,0.00%
nq,contriever,mistralai/Mistral,dot,LM_targeted,start,drift,1,conflict,3,10,10,500,300,0.57%,,,,0.04%,0.03%
nq,contriever,mistralai/Mistral,dot,LM_targeted,end,kmeans_ngram,1,none,3,10,10,500,300,0.00%,,,,0.12%,1.00%
nq,contriever,mistralai/Mistral,dot,hotflip,start,none,1,none,3,10,10,500,300,0.60%,6.62,21.00%,73.00%,,
nq,contriever,mistralai/Mistral,dot,hotflip,end,none,1,none,3,10,10,500,300,0.60%,6.32,22.00%,73.00%,,
nq,contriever,mistralai/Mistral,dot,hotflip,start,none,1,conflict,3,10,10,500,300,0.60%,39.57,66.00%,23.00%,,
nq,contriever,mistralai/Mistral,dot,hotflip,end,none,1,conflict,3,10,10,500,300,0.60%,55.56,69.00%,23.00%,,
nq,contriever,mistralai/Mistral,dot,LM_targeted,start,kmeans_ngram,1,none,3,10,10,500,300,0.00%,,,,0.13%,1.00%
nq,contriever,mistralai/Mistral,dot,LM_targeted,start,kmeans_ngram,1,conflict,3,10,10,500,300,0.00%,,,,0.13%,1.00%
nq,contriever,mistralai/Mistral,dot,LM_targeted,end,kmeans_ngram,1,conflict,3,10,10,500,300,0.00%,,,,0.12%,1.00%
nq,contriever,meta,dot,LM_targeted,end,none,1,conflict,3,10,10,500,300,0.58%,37.40,80.00%,12.00%,,
nq,contriever,meta,dot,hotflip,start,drift,1,none,3,10,10,500,300,0.01%,171.59,65.00%,4.00%,0.03%,0.98%
nq,contriever,meta,dot,hotflip,start,drift,1,conflict,3,10,10,500,300,0.01%,271.74,83.00%,2.00%,0.03%,0.98%
nq,contriever,meta,dot,hotflip,end,drift,1,conflict,3,10,10,500,300,0.03%,262.93,85.00%,1.00%,0.03%,0.95%
nq,contriever,meta,dot,hotflip,end,drift,1,none,3,10,10,500,300,0.03%,221.17,66.00%,10.00%,0.03%,0.95%
nq,contriever,meta,dot,LM_targeted,start,drift,1,none,3,10,10,500,300,0.57%,36.16,30.00%,65.00%,0.04%,0.03%
nq,contriever,meta,dot,LM_targeted,end,none,1,none,3,10,10,500,300,0.58%,4.93,25.00%,70.00%,,
nq,contriever,meta,dot,LM_targeted,start,none,1,conflict,3,10,10,500,300,0.59%,34.26,86.00%,9.00%,,
nq,contriever,meta,dot,LM_targeted,start,none,1,none,3,10,10,500,300,0.59%,4.31,27.00%,68.00%,,
nq,contriever,meta,dot,hotflip,start,none,1,none,3,10,10,500,300,0.60%,6.83,18.00%,81.00%,,
nq,contriever,meta,dot,hotflip,end,none,1,none,3,10,10,500,300,0.60%,6.62,17.00%,81.00%,,
nq,contriever,meta,dot,hotflip,start,none,1,conflict,3,10,10,500,300,0.60%,43.47,82.00%,12.00%,,
nq,contriever,meta,dot,hotflip,end,none,1,conflict,3,10,10,500,300,0.60%,37.79,82.00%,12.00%,,
nq,contriever,meta,dot,LM_targeted,end,drift,1,none,3,10,10,500,300,0.58%,67.51,25.00%,70.00%,0.04%,0.00%
nq,contriever,meta,dot,LM_targeted,start,drift,1,conflict,3,10,10,500,300,0.57%,78.27,83.00%,11.00%,0.04%,0.03%
nq,contriever,meta,dot,LM_targeted,end,drift,1,conflict,3,10,10,500,300,0.58%,69.75,81.00%,13.00%,0.04%,0.00%
nq,contriever,meta,dot,LM_targeted,start,kmeans_ngram,1,none,3,10,10,500,300,0.00%,19.08,64.00%,1.00%,0.13%,1.00%
nq,contriever,meta,dot,LM_targeted,end,kmeans_ngram,1,none,3,10,10,500,300,0.00%,16.82,64.00%,1.00%,0.12%,1.00%
nq,contriever,meta,dot,LM_targeted,start,kmeans_ngram,1,conflict,3,10,10,500,300,0.00%,57.05,85.00%,1.00%,0.13%,1.00%
nq,contriever,meta,dot,LM_targeted,end,kmeans_ngram,1,conflict,3,10,10,500,300,0.00%,59.08,83.00%,3.00%,0.12%,1.00%
