dataset,retrieval_model,score_function,top_k,adv_pos,data_points,5th_highest_quantile_95th_percentile,10th_highest_quantile_90th_percentile
hotpotqa,ance,cos_sim,20,end,148100,0.004499971866607666,0.0023999810218811035
hotpotqa,ance,cos_sim,20,start,148100,0.013599991798400879,0.010699987411499023
hotpotqa,ance,dot,5,end,37025,3.3618164062499787,1.7445068359375
hotpotqa,ance,dot,5,start,37025,10.605639648437492,8.52679443359375
hotpotqa,contriever,cos_sim,20,end,148100,0.3733999729156494,0.23830002546310425
hotpotqa,contriever,cos_sim,20,start,148100,0.4779999852180481,0.37290000915527344
hotpotqa,contriever,dot,20,end,148100,0.5325000286102295,0.41591008901596127
hotpotqa,contriever,dot,20,start,148100,0.7121050298213947,0.582399845123291
hotpotqa,contriever-ms,cos_sim,20,end,148100,0.2997000217437744,0.19690001010894775
hotpotqa,contriever-ms,cos_sim,20,start,148100,0.5205999612808228,0.42330002784729004
hotpotqa,contriever-ms,dot,20,end,148100,0.5824050784111011,0.40450000762939453
hotpotqa,contriever-ms,dot,20,start,148100,1.319200038909912,1.1481001377105713
hotpotqa,minilm,cos_sim,20,end,148100,0.3381999731063843,0.2434999942779541
hotpotqa,minilm,cos_sim,20,start,148100,0.6709099888801552,0.5640000104904175
hotpotqa,mpnet,cos_sim,20,end,148080,0.4283050209283817,0.3085099935531622
hotpotqa,mpnet,cos_sim,20,start,148080,0.7325999736785889,0.6074000000953674
hotpotqa,roberta,cos_sim,20,end,148100,0.4391999840736389,0.30879998207092285
hotpotqa,roberta,cos_sim,20,start,148100,0.6966999769210815,0.5806000232696533
mirage,ance,dot,20,end,151180,0.27020263671875,0.17999267578125
mirage,ance,dot,20,start,151180,3.4425048828125,2.29742431640625
mirage,contriever,dot,20,end,151180,0.5882200837135269,0.39149999618530273
mirage,contriever,dot,20,start,151180,0.5186998844146729,0.42219996452331543
mirage,contriever-ms,dot,20,end,151180,0.12539982795715332,0.08419990539550781
mirage,contriever-ms,dot,20,start,151180,0.6604001522064209,0.4581000804901123
mirage,minilm,cos_sim,20,end,151180,0.06599998474121094,0.03689998388290405
mirage,minilm,cos_sim,20,start,151180,0.3888000249862671,0.25269997119903564
mirage,mpnet,cos_sim,20,end,151180,0.18900001049041748,0.1039000153541565
mirage,mpnet,cos_sim,20,start,151180,0.6570000052452087,0.5031000375747681
mirage,roberta,cos_sim,20,end,151180,0.04920499920844915,0.031599998474121094
mirage,roberta,cos_sim,20,start,151180,0.44199997186660767,0.32359999418258667
msmarco,contriever,cos_sim,20,end,10058780,0.20899999141693115,0.15490001440048218
msmarco,contriever,cos_sim,20,start,10058780,0.31220000982284546,0.24459999799728394
msmarco,contriever,dot,20,end,16680,0.5778049170970916,0.4686000347137451
msmarco,contriever,dot,20,start,16680,0.7444200217723843,0.6226999759674072
msmarco,contriever,dot,5,end,4170,0.60087998509407,0.4734498739242553
msmarco,contriever,dot,5,start,4170,0.7719200491905212,0.6491100549697876
nq,ance,cos_sim,20,end,69040,0.005800008773803711,0.002499997615814209
nq,ance,cos_sim,20,start,69040,0.01130002737045288,0.008000016212463379
nq,ance,dot,5,end,17260,3.706002807617187,1.6043273925781256
nq,ance,dot,5,start,17260,8.848840332031248,6.305255126953125
nq,contriever,cos_sim,20,end,69040,0.4505000114440918,0.30489999055862427
nq,contriever,cos_sim,20,start,69040,0.4599999785423279,0.352400004863739
nq,contriever,dot,20,end,69040,0.6742000579833984,0.5352999091148376
nq,contriever,dot,20,start,69040,0.6933999121189117,0.5358998894691467
nq,contriever-ms,cos_sim,20,end,69040,0.3021000027656555,0.15869998931884766
nq,contriever-ms,cos_sim,20,start,69040,0.46980499625206024,0.3305000066757202
nq,contriever-ms,dot,20,end,69040,0.5443050682544711,0.3291001319885254
nq,contriever-ms,dot,20,start,69040,1.0135999917984009,0.7769100546836851
nq,minilm,cos_sim,20,end,69040,0.2713000178337097,0.15561001300811753
nq,minilm,cos_sim,20,start,69040,0.531000018119812,0.3944000005722046
nq,mpnet,cos_sim,20,end,69040,0.26370500922203094,0.14090001583099365
nq,mpnet,cos_sim,20,start,69040,0.5193099856376654,0.3816100180149077
nq,roberta,cos_sim,20,end,69040,0.2820050060749057,0.15969997644424438
nq,roberta,cos_sim,20,start,69040,0.5210000276565552,0.3895999789237976
